project_url,title,title_length,description,category,author,region,goal_rub,pledged_rub,funding_percentage,is_successful,campaign_duration_days,launch_date,end_date,participants_count,tiers_count,min_tier_price_rub,max_tier_price_rub,has_video,updates_count,comments_count,faq_count,created_projects,backed_projects,social_links_count,risks_text,risk_words_count,has_superlatives,error,source,catalog_category_filter
https://planeta.ru/campaigns/proklyataya_lyubov_tani_larinoy,Дебютный короткометражный фильм «Проклятая любовь Тани Лариной»,63.0,"Студенческий короткометражный фильм в жанре романтическое фэнтези по мотивам «Евгения Онегина» о девушке и вампире, которого она должна бояться, но не может перестать любить.",Кино и видео,mbogdanovs,Москва и Московская обл,250000.0,114100.0,45.0,0.0,49.0,2026-03-12,2026-04-30,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/izmeni-odin-den,Измени один день,16.0,"Каждую субботу мы приходим к бездомным людям, чтобы поделиться горячим ужином и теплом дружбы. Так, день за днем, их жизнь меняется к лучшему. Давайте менять ее вместе!",Благотворительность,АНО ЦСКПУ «Друзья общины святого Эгидия»,Москва и Московская обл,120000.0,50730.0,42.0,0.0,50.0,2026-03-11,2026-04-30,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1833.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/oswobozhdenie,Книга об истории киноэпопеи Юрия Озерова «Освобождение»,55.0,"История создания грандиозной советской киноэпопеи ""Освобождение"", с большим сборником ранее неопубликованных документов и фотографий из государственных и личных архивов авторов.",Литература и журналистика,Григорий Пернавский,Москва и Московская обл,1200000.0,523100.0,43.0,0.0,295.0,2025-06-27,2026-04-18,202.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,184.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/otriad,"Короткометражный фильм ""СМЕНА""",30.0,"Мы — команда молодых кинематографистов. Запускаем фильм «Смена» — трогательную историю о вожатой и «трудных» подростках, которым нужен шанс и тот, кто в них поверит.",Кино и видео,liza.zolo0607,Москва и Московская обл,170000.0,72500.0,42.0,0.0,12.0,2026-04-04,2026-04-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/239479,Новая книга Андрея Штефана «Морские бродяги».,45.0,"Карбас «Матера» 07.06.2024 вышел из Архангельска, пережив множество невероятных приключений на грани жизни и смерти, 24.08.2024 пришёл в конечный пункт – легендарную Мангазею.",Литература и журналистика,chifann,Москва и Московская обл,200000.0,83490.0,41.0,0.0,99.0,2026-02-02,2026-05-12,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,132.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/236344,Пошив костюмов для мюзикла «Маленький принц»,44.0,Коллектив самодеятельного театра мюзикла «Бродвей» готовит премьеру спектакля по одноименной аллегорической повести-сказке Антуана де Сент-Экзюпери.,Театр,Иван Первых,Забайкальский край,298000.0,119950.0,40.0,0.0,224.0,2025-10-08,2026-05-20,77.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,50.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/242777,Развитие ветеринарной лаборатории Цап-Лап часть 3: гематологический анализатор,78.0,Собираем средства на гематологический анализатор для ветеринарного кабинета Цап-Лап в провинции.,Общественные инициативы,Наталья,Пензенская обл,350000.0,164500.0,47.0,0.0,58.0,2026-03-03,2026-04-30,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,39.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/slovaibukvy,Сборник стихотворений Саши Вяль,31.0,"Пишу стихи много лет, в середине пути решила подвести промежуточный итог и выпустить книгу. Выпущу!",Литература и журналистика,Александра Вяль,Москва и Московская обл,200000.0,83700.0,41.0,0.0,121.0,2025-12-18,2026-04-18,34.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,34.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/diplomiki,Съёмки дипломного фильма студентов Института Кино НИУ ВШЭ,57.0,"Наша команда студентов магистратуры Института Кино НИУ ВШЭ готовит съёмки дипломного фильма. Нам очень нужна ваша поддержка, и мы приглашаем вас помочь реализации проекта!",Кино и видео,Сергей Тюрин,Москва и Московская обл,350000.0,140100.0,40.0,0.0,48.0,2026-03-16,2026-05-03,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/aeterna_metal,AETERNA – НОВЫЙ АЛЬБОМ «ЗА ГРАНЬЮ ВРЕМЕНИ»,42.0,"Друзья, группа AETERNA приступает к записи второго альбома. Мы приглашаем вас поддержать новый этап нашего творческого пути и стать его частью!",Музыка,dubrovina.alyona,Тюменская обл. и Ханты-Мансийский АО,400000.0,270000.0,67.0,0.0,54.0,2026-04-07,2026-05-31,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,0.0,,0.0,0.0,,selenium,Все категории
